web-scraper-order,web-scraper-start-url,building_name,address,units,stories,year,type,neighborhood,amenities,buildings,buildings-href
"1533929737-166","http://yddevelopment.herokuapp.com/125buildings2.","Building: 143 West 140th Street","143 West 140th Street, New York, NY, 10030","55 units","7 stories","Built in 1903","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

          
              
                      
      
    

              
          
            Location
          
              
                  NYC Storm Zone 4","Building","https://streeteasy.com/building/143-West-140th-Street-10030"
"1533929367-75","http://yddevelopment.herokuapp.com/125buildings2.","Building: 257 West 137th Street","257 West 137th Street, New York, NY, 10030","5 units","5 stories","Built in 1910","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

        Highlights
        
            
              
                
              
              
                
                  Pets Allowed
                
              
            
        
            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/257-West-137th-Street-10030"
"1533930834-466","http://yddevelopment.herokuapp.com/125buildings2.","House: 13 West 137th Street","13 West 137th Street, New York, NY, 10037","19 units","6 stories","Built in 1920","Multi-family","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 4","Building","https://streeteasy.com/building/13-West-137th-Street-10037"
"1533929577-127","http://yddevelopment.herokuapp.com/125buildings2.","House: 645 Lenox Avenue","645 Lenox Avenue, New York, NY, 10037","15 units","6 stories","Built in 1920","Multi-family","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 4","Building","https://streeteasy.com/building/645-Lenox-Avenue-10037"
"1533930553-390","http://yddevelopment.herokuapp.com/125buildings2.","House: 140 West 133rd Street","140 West 133rd Street, New York, NY, 10030","8 units","4 stories","Built in 1910","Multi-family","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/140-West-133rd-Street-10030"
"1533930100-271","http://yddevelopment.herokuapp.com/125buildings2.","Building: 2286 Adam C Powell Boulevard","2286 Adam C Powell Boulevard, New York, NY, 10030","3 units","3 stories","Built in 1910","Mixed-Use Building","Central Harlem","null","Building","https://streeteasy.com/building/2286-Adam-C-Powell-Blvd-10030"
"1533929130-10","http://yddevelopment.herokuapp.com/125buildings2.","House: 2593 Frederick Douglass Boulevard","2593 Frederick Douglass Boulevard, New York, NY, 10030","16 units","5 stories","Built in 1920","Multi-family","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/2593-Fredrick-Douglass-Bl-10030"
"1533929592-132","http://yddevelopment.herokuapp.com/125buildings2.","Building: 145 West 142nd Street","145 West 142nd Street, New York, NY, 10030","10 units","5 stories","Built in 1910","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 4","Building","https://streeteasy.com/building/145-West-142nd-Street-10030"
"1533930148-286","http://yddevelopment.herokuapp.com/125buildings2.","Building: 2246 Adam C Powell Boulevard","2246 Adam C Powell Boulevard, New York, NY, 10027","8 units","5 stories","Has tax abated units","Rental Building","Central Harlem","null","Building","https://streeteasy.com/building/2246-Adam-C-Powell-Blvd-10027"
"1533929907-214","http://yddevelopment.herokuapp.com/125buildings2.","House: 290 West 137th Street","290 West 137th Street, New York, NY, 10030","4 units","4 stories","Built in 1983","Four-Family Home","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/290-West-137th-Street-10030"
